토픽,주장+근거
동어 반복의 오류,우리는 환경을 보호해야 합니다. 환경 보호는 우리 삶의 터전을 지키는 데 필수적이기 때문입니다.
동어 반복의 오류,이 법은 매우 중요하다. 왜냐하면 이 법이 사회의 중요한 문제를 다루고 있기 때문이다.
성급한 일반화,"독일과 싱가포르 등의 나라에서도 사교육이 활성화되고 있는 현상으로 미루어 보면, 사교육 열풍은 전 세계적 현상이라 할 수 있다."
성급한 일반화,최근 몇 달간 우리 동네에서 10대들의 범죄가 두 건 발생했습니다. 청소년 전체에게 야간 통행금지 조치를 내려야 합니다.
성급한 일반화,이번 총선에서 우리 당이 수도권 지역구 두 곳에서 압승했습니다. 이번 선거 결과는 전국적인 정권 교체를 의미합니다.
성급한 일반화,미국과 영국에서 시행된 주 4일 근무제가 실패했습니다. 따라서 우리나라에서 주 4일 근무제는 무조건 실패합니다.
성급한 일반화,제가 만난 몇몇 이민자들은 생활 보호비를 받았습니다. 한국에 온 이민자들은 모두 복지 혜택만 누리려는 사람들입니다.
성급한 일반화,대형 건설사 두 곳이 부실 공사로 문제가 되었습니다. 국내 모든 건설사는 이윤만 추구하는 부도덕한 기업들입니다.
성급한 일반화,저는 길에서 대중교통을 이용하는 노인들이 새치기하는 것을 몇 번 봤습니다. 요즘 노인들은 공공 예절이 부족합니다.
성급한 일반화,저희가 서울에 있는 대학생 50명을 상대로 조사한 결과 이 정책에 압도적으로 반대했습니다. 전국의 청년들은 모두 이 정책을 거부하고 있습니다.
성급한 일반화,한반도에서 5년간 지진이 발생하지 않았습니다. 한반도는 더 이상 지진 안전지대입니다.
성급한 일반화,제가 해외에서 먹은 한국 식당 음식은 맛이 없었습니다. 한국 음식은 전 세계에서 통용되기 어렵습니다.
논점 일탈,교육의 가치를 입증하기 위해 조기 졸업을 허용하는 이번 조치에 대해 반대합니다.
논점 일탈,"부동산 규제도 중요하지만, 지금은 저출산 문제가 더 심각합니다. 우리는 저출산 문제 해결에 집중해야 합니다."
논점 일탈,"공공 의료 확대 이전에, 의사들의 과도한 노동 시간 문제를 먼저 해결해야 합니다."
논점 일탈,"세금 인상을 논하기 전에, 정부가 먼저 예산을 낭비하지 않고 효율적으로 쓰는 모습을 보여야 합니다."
논점 일탈,"환경 오염 문제 해결이 시급하지만, 지금 당장 지역 경제를 살리는 것이 주민들에게 더 중요합니다."
논점 일탈,"동물 복지를 주장하지만, 정작 길거리에 굶주리는 사람들에 대한 복지는 왜 외면합니까?"
논점 일탈,"통신비 인하보다, 통신사들이 5G 망을 제대로 구축하지 않는 문제를 먼저 다뤄야 합니다."
논점 일탈,임금 격차 문제를 해결해야 합니다. 하지만 더 중요한 것은 남녀 간의 역할 갈등을 해소하고 서로 화합하는 것입니다.
논점 일탈,"국회 폭력 문제를 방지하기 전에, 국회의원들의 품위를 높이는 교육을 먼저 실시해야 합니다."
논점 일탈,사형제 폐지보다 더 시급한 것은 강력 범죄 피해자들의 인권을 보호하는 것입니다.
무지에의 호소,이 약은 개발된 지 10년이 지났지만 임상적으로 부작용의 사례가 전혀 없었습니다. 그러므로 이 약은 안전합니다.
무지에의 호소,"저 후보의 비리 의혹이 아직까지 명확하게 입증되지 않았으므로, 그는 결백하다고 주장할 수 있습니다."
무지에의 호소,유전자 변형 식품(GMO)이 인체에 해롭다는 과학적 증거가 아직 나오지 않았습니다. 그러니 안전하다고 봐야 합니다.
무지에의 호소,이 투자 방식이 불법이라는 판례가 없습니다. 따라서 이 방식은 합법적인 투자 방법입니다.
무지에의 호소,반대편에서 이 정책이 실패할 것이라는 결정적인 근거를 제시하지 못하고 있습니다. 그러므로 이 정책은 성공할 것입니다.
무지에의 호소,아직까지 이 정권이 외교적으로 중대한 실수를 했다는 사실이 공식적으로 확인되지 않았습니다. 현 정부의 외교는 성공적입니다.
무지에의 호소,"이 지역에 환경 오염이 있었다는 것을 입증할 수 없으므로, 이 공장은 환경을 파괴하지 않았습니다."
무지에의 호소,"이 회사의 비밀 기술이 경쟁사에 유출되었다는 증거가 없으므로, 그 주장은 허위 사실 유포입니다."
무지에의 호소,"아직까지 이 법안의 긍정적 효과를 증명하는 연구 결과는 없지만, 부정적 효과도 증명되지 않았으므로 시행해 볼 가치가 있습니다."
무지에의 호소,우리가 주장하는 이념이 틀렸다는 것을 아무도 증명하지 못했습니다. 따라서 우리의 이념이 진실입니다.
잘못된 인과 관계,올해에는 소비가 증가할 것입니다. 선거가 있는 해에는 항상 소비가 증가하였던 것이 통상적인 관례입니다.
잘못된 인과 관계,대형 마트 의무 휴업일을 지정한 이후 골목 상권의 매출이 크게 늘었습니다. 의무 휴업일이 골목 상권을 살린 직접적인 원인입니다.
잘못된 인과 관계,정부가 코로나19 사태에 긴급 재난금을 지급한 후 확진자 수가 급증했습니다. 재난금 지급이 감염 확산의 원인이었습니다.
잘못된 인과 관계,스마트폰이 보급된 이후 청소년들의 학업 성취도가 하락했습니다. 스마트폰이 청소년들의 성적 하락의 주범입니다.
잘못된 인과 관계,작년 KBO 리그에서 특정 팀이 우승했습니다. 그 팀의 연고지에 대규모 아파트 단지 개발 계획이 발표된 것이 우승의 원인입니다.
잘못된 인과 관계,최근 10년간 대형 언론사들의 유튜브 채널 구독자가 늘어나면서 국민들의 정치 참여율이 낮아졌습니다. 언론이 국민을 정치에서 멀어지게 만들고 있습니다.
잘못된 인과 관계,CCTV를 설치한 이후 주변 범죄율이 증가했습니다. CCTV가 범죄자를 자극하는 것입니다.
잘못된 인과 관계,미세먼지 마스크 착용률이 높아진 후 감기 환자가 줄었습니다. 미세먼지 마스크가 감기를 예방하는 효과가 있습니다.
잘못된 인과 관계,제가 이 정책을 강하게 비판한 이후 정부가 정책을 철회했습니다. 제 비판이 정책 철회의 결정적인 원인이었습니다.
잘못된 인과 관계,아파트 가격이 오른 이후 결혼율이 떨어졌습니다. 높은 집값이 출산율과 결혼율 하락의 주된 원인입니다.
선험적 추론,진보 정당이 제시하는 복지 정책은 포퓰리즘이 될 수밖에 없습니다. 시민들이 아무리 합리적이라고 주장해도 그들의 의도는 결국 돈으로 표를 사려는 것입니다.
선험적 추론,대기업이 친환경 기술을 개발한다고요? 말도 안 됩니다. 대기업은 오직 이윤 추구만을 하기 때문에 그들의 친환경 활동은 모두 위선입니다.
선험적 추론,노조가 임금 인상을 주장하는 것은 당연합니다. 노조는 본래 자기 집단의 이익만을 위해 존재하는 이기적인 조직이기 때문입니다. 다른 이유가 있을 수 없습니다.
선험적 추론,공교육은 태생적으로 혁신이 불가능합니다. 그러니 아무리 예산을 투자해도 공교육이 좋아질 리 없습니다. 다른 대안을 찾아야 합니다.
선험적 추론,"복지 예산을 늘리면 국민들은 더 게을러집니다. 그들이 복지 혜택을 잘 활용하고 있다고요? 그것은 일시적인 현상일 뿐, 결국은 게으름을 부추길 것입니다."
선험적 추론,저 방송사의 뉴스는 믿을 수 없습니다. 왜냐하면 그 방송사는 정부의 나팔수이기 때문입니다. 아무리 객관적인 보도를 했다고 해도 의도가 불순합니다.
선험적 추론,"사법부가 아무리 공정한 판결을 내렸다고 해도, 결국 권력의 눈치를 본 판결일 것입니다. 사법부는 본질적으로 부패할 수밖에 없는 조직이기 때문입니다."
선험적 추론,아무리 그 나라가 우리에게 호의적인 제스처를 취해도 믿어서는 안 됩니다. 그들은 본래 우리에게 적대적인 국가이기 때문에 모든 것은 기만입니다.
선험적 추론,"대중은 정치적으로 무지하고 감정적입니다. 여론조사 결과가 정책을 지지하든 반대하든, 그 의견은 무시되어야 합니다."
선험적 추론,"규제는 시장을 위축시키는 악입니다. 이 규제가 좋은 의도를 가졌다 해도, 모든 규제는 결국 나쁜 결과를 낳을 것입니다."
원천 봉쇄,저희가 제시하는 경제 성장률 예측치를 비판하는 사람들은 모두 이 나라의 발전을 원하지 않는 세력일 뿐입니다.
원천 봉쇄,이 정책에 반대하는 사람들은 모두 본인의 기득권을 잃고 싶지 않은 이기적인 사람들입니다.
원천 봉쇄,저 후보를 지지하는 사람들은 민주주의의 가치를 전혀 모르는 무지한 사람들입니다.
원천 봉쇄,이 법안을 찬성하는 국회의원은 다음 선거에서 반드시 심판을 받아야 할 비양심적인 사람들입니다.
원천 봉쇄,"감히 환경 문제를 논하려면, 본인부터 일회용품을 전혀 쓰지 않는 완벽한 환경 운동가여야 합니다. 그렇지 않은 사람의 주장은 들을 가치가 없습니다."
원천 봉쇄,"이 정책을 비판하는 것은 결국 가짜 뉴스를 유포하는 행위이며, 국익을 해치는 일입니다."
원천 봉쇄,"지금 이 자리에서 저희 당론에 반대하는 발언을 하는 것은, 곧 당의 화합을 깨려는 분열주의자라는 것을 스스로 증명하는 것입니다."
원천 봉쇄,당신이 하는 모든 주장은 이미 '특정 이념에 경도된 사람'의 주장으로 분류되었기 때문에 객관성이 없습니다.
원천 봉쇄,이 기관은 이미 예전부터 편향된 조사를 해왔습니다. 이 기관의 발표는 신뢰할 수 없습니다.
원천 봉쇄,제가 지금부터 드릴 말씀은 일반적인 상식을 가진 사람이라면 당연히 동의할 수밖에 없는 내용입니다.
흑백 논리,지금 현재 우리 사회에 사교육이 활성화되고 있는 이유는 공교육이 제대로 된 교육을 감당하지 못하고 있기 때문입니다.
흑백 논리,"당신이 이 법안에 찬성하지 않는다면, 당신은 곧 범죄자의 인권을 옹호하는 것입니다."
흑백 논리,"우리는 당장 원자력 발전을 전면 재개하거나, 아니면 심각한 전력난으로 산업이 붕괴되는 것을 지켜봐야 합니다."
흑백 논리,공무원 수를 대폭 늘려야 합니다. 그렇지 않으면 행정 서비스의 질은 나아지지 않고 국민들의 불편은 계속될 것입니다.
흑백 논리,"이민자들을 대거 수용하여 노동력을 확보하거나, 아니면 인구 절벽으로 인해 국가가 소멸하는 것을 선택해야 합니다."
흑백 논리,"저 후보를 지지하거나, 아니면 이 나라의 미래가 암흑으로 가는 것을 방관하는 것, 둘 중 하나를 택해야 합니다."
흑백 논리,"규제를 전면 철폐하여 기업들의 자유로운 성장을 돕거나, 아니면 경제 침체를 받아들여야 합니다."
흑백 논리,"당신이 정부의 모든 정책에 동의하지 않는다면, 당신은 반정부 세력일 뿐입니다."
흑백 논리,"우리는 인공지능 기술을 완전히 받아들이거나, 아니면 기술 발전에서 영원히 뒤처지는 꼴을 면치 못할 것입니다."
흑백 논리,"남북 관계는 평화 통일로 가거나, 아니면 전쟁으로 가거나, 두 가지 길밖에 없습니다."
